time,temp
14.76,2025-04-1816:43:32
14.76,2025-04-1816:55:19
15.76,2025-04-1817:32:29
15.76,2025-04-1817:43:39
15.76,2025-04-1817:54:28
15.76,2025-04-1818:45:01
15.76,2025-04-1818:56:02
14.76,2025-04-1819:23:50
14.76,2025-04-1819:39:10
14.76,2025-04-1819:50:00
14.76,2025-04-1820:32:02
14.76,2025-04-1820:45:21
14.76,2025-04-1820:56:24
14.76,2025-04-1821:30:23
14.76,2025-04-1821:41:50
14.76,2025-04-1821:53:03
15.76,2025-04-1822:37:58
15.76,2025-04-1822:49:17
15.76,2025-04-1823:00:05
16.76,2025-04-1823:31:19
16.76,2025-04-1823:42:40
16.76,2025-04-1823:54:03
18.76,2025-04-1903:04:13
17.76,2025-04-1903:49:00
17.76,2025-04-1903:59:48
18.76,2025-04-1904:40:17
18.76,2025-04-1904:51:18
12.76,2025-04-1905:36:26
12.76,2025-04-1905:47:21
12.76,2025-04-1905:58:39
14.76,2025-04-1906:45:53
14.76,2025-04-1906:56:49
13.76,2025-04-1907:26:26
13.76,2025-04-1907:39:00
13.76,2025-04-1907:50:02
11.76,2025-04-1908:37:38
11.76,2025-04-1908:50:13
10.76,2025-04-1909:29:15
10.76,2025-04-1909:40:36
10.76,2025-04-1909:51:52
10.76,2025-04-1910:36:45
10.76,2025-04-1910:47:47
10.76,2025-04-1910:58:32
10.76,2025-04-1911:24:39
10.76,2025-04-1911:38:45
10.76,2025-04-1911:49:50
11.76,2025-04-1913:02:00
11.76,2025-04-1913:36:58
11.76,2025-04-1913:48:02
11.76,2025-04-1913:59:04
11.76,2025-04-1914:34:14
11.76,2025-04-1914:45:10
11.76,2025-04-1914:56:14
9.76,2025-04-1915:30:42
9.76,2025-04-1915:41:48
9.76,2025-04-1915:52:55
9.76,2025-04-1916:40:42
9.76,2025-04-1916:51:50
8.76,2025-04-1917:31:11
8.76,2025-04-1917:42:03
8.76,2025-04-1917:53:06
9.76,2025-04-1918:40:13
9.76,2025-04-1918:51:08
9.76,2025-04-1919:22:30
9.76,2025-04-1919:36:37
9.76,2025-04-1919:47:59
9.76,2025-04-1919:59:04
8.76,2025-04-1920:33:06
8.76,2025-04-1920:44:30
8.76,2025-04-1920:55:16
8.76,2025-04-1921:28:29
8.76,2025-04-1921:39:51
8.76,2025-04-1921:50:56
8.76,2025-04-1922:33:20
8.76,2025-04-1922:44:24
8.76,2025-04-1922:55:21
9.76,2025-04-1923:31:03
9.76,2025-04-1923:42:22
9.76,2025-04-1923:53:33
18.76,2025-04-2003:14:57
18.76,2025-04-2003:55:38
20.76,2025-04-2004:39:23
20.76,2025-04-2004:51:47
21.76,2025-04-2005:35:41
21.76,2025-04-2005:46:26
21.76,2025-04-2005:57:21
22.76,2025-04-2006:45:51
22.76,2025-04-2006:56:33
22.76,2025-04-2007:29:56
22.76,2025-04-2007:41:02
22.76,2025-04-2007:52:18
22.76,2025-04-2008:37:28
22.76,2025-04-2008:49:19
22.76,2025-04-2009:00:11
19.76,2025-04-2009:30:15
19.76,2025-04-2009:42:57
19.76,2025-04-2009:53:58
17.76,2025-04-2010:39:21
17.76,2025-04-2010:50:37
19.22,2025-04-2011:23:41
16.76,2025-04-2011:38:33
16.76,2025-04-2011:49:33
14.76,2025-04-2013:05:03
13.76,2025-04-2013:40:33
13.76,2025-04-2013:51:36
12.76,2025-04-2014:33:13
12.76,2025-04-2014:44:56
12.76,2025-04-2014:55:44
12.76,2025-04-2015:30:42
12.76,2025-04-2015:44:07
12.76,2025-04-2015:55:30
11.76,2025-04-2016:41:18
11.76,2025-04-2016:52:32
11.76,2025-04-2017:31:36
11.76,2025-04-2017:44:00
11.76,2025-04-2017:55:11
10.76,2025-04-2018:44:49
10.76,2025-04-2018:55:58
11.76,2025-04-2019:23:52
11.76,2025-04-2019:38:36
11.76,2025-04-2019:49:28
10.76,2025-04-2020:31:16
10.76,2025-04-2020:44:34
10.76,2025-04-2020:55:34
10.76,2025-04-2021:27:54
10.76,2025-04-2021:41:35
10.76,2025-04-2021:52:37
13.76,2025-04-2022:37:06
13.76,2025-04-2022:48:23
13.76,2025-04-2022:59:15
17.76,2025-04-2023:29:29
17.76,2025-04-2023:41:41
17.76,2025-04-2023:52:36
22.76,2025-04-2103:27:59
22.76,2025-04-2104:00:12
24.76,2025-04-2104:43:54
